Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S122971399,Spotted Elachura (Spotted Wren-Babbler),Elachura formosa,27648,2,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,17/03/2022,7:17 am,eBird - Traveling Count,76,1,1.474,,1,,,"Risthong, Alemba, Ramya Transect-1 TVSU Reserve",
S122971399,Verditer Flycatcher,Eumyias thalassinus,29088,1,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,17/03/2022,7:17 am,eBird - Traveling Count,76,1,1.474,,1,,,"Risthong, Alemba, Ramya Transect-1 TVSU Reserve",
S122971399,Little Pied Flycatcher,Ficedula westermanni,29540,1,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,17/03/2022,7:17 am,eBird - Traveling Count,76,1,1.474,,1,,,"Risthong, Alemba, Ramya Transect-1 TVSU Reserve",
S122971399,Blue-fronted Redstart,Phoenicurus frontalis,29599,3,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,17/03/2022,7:17 am,eBird - Traveling Count,76,1,1.474,,1,,,"Risthong, Alemba, Ramya Transect-1 TVSU Reserve",
S122971399,Fire-breasted Flowerpecker,Dicaeum ignipectus,30090,2,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,17/03/2022,7:17 am,eBird - Traveling Count,76,1,1.474,,1,,,"Risthong, Alemba, Ramya Transect-1 TVSU Reserve",
S122971399,Mrs. Gould's Sunbird,Aethopyga gouldiae,30522,2,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,17/03/2022,7:17 am,eBird - Traveling Count,76,1,1.474,,1,,,"Risthong, Alemba, Ramya Transect-1 TVSU Reserve",
S122971399,Green-tailed Sunbird,Aethopyga nipalensis,30528,1,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,17/03/2022,7:17 am,eBird - Traveling Count,76,1,1.474,,1,,,"Risthong, Alemba, Ramya Transect-1 TVSU Reserve",
S122971401,Large Hawk-Cuckoo,Hierococcyx sparverioides,3416,4,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Great Barbet,Psilopogon virens,10721,6,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Golden-throated Barbet,Psilopogon franklinii,10756,2,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Long-tailed Minivet,Pericrocotus ethologus,18605,3,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,White-throated Fantail,Rhipidura albicollis,20278,1,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Yellow-cheeked Tit,Machlolophus spilonotus,22225,4,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Himalayan Black Bulbul,Hypsipetes leucocephalus,24591,4,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Buff-barred Warbler,Phylloscopus pulcher,24800,4,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Chestnut-crowned Warbler,Phylloscopus castaniceps,24946,2,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Brownish-flanked Bush Warbler,Horornis fortipes,25173,2,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Whiskered Yuhina,Yuhina flavicollis,25529,7,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Nepal Fulvetta,Alcippe nipalensis,26400,1,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Beautiful Sibia,Heterophasia pulchella,26510,2,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Grey Sibia,Heterophasia gracilis,26513,4,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Blue-winged Minla,Actinodura cyanouroptera,26538,3,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Rusty-fronted Barwing,Actinodura egertoni,26554,5,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Red-faced Liocichla,Liocichla phoenicea,26599,4,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Grey-sided Laughingthrush,Pterorhinus caerulatus,26833,3,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Spotted Elachura (Spotted Wren-Babbler),Elachura formosa,27648,1,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Verditer Flycatcher,Eumyias thalassinus,29088,2,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Slaty-blue Flycatcher,Ficedula tricolor,29510,1,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Blue-fronted Redstart,Phoenicurus frontalis,29599,2,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Fire-breasted Flowerpecker,Dicaeum ignipectus,30090,3,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971401,Mrs. Gould's Sunbird,Aethopyga gouldiae,30522,5,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
